"","month","gender","TripTimeTotal","Gender"
"1",1,1,1476.25416666667,"Male"
"2",1,2,312.469166666667,"Female"
"3",2,1,1470.25277777778,"Male"
"4",2,2,326.464166666667,"Female"
"5",3,1,1765.55833333333,"Male"
"6",3,2,390.379166666667,"Female"
"7",4,1,2305.39222222222,"Male"
"8",4,2,1112.145,"Female"
"9",5,1,3906.47944444444,"Male"
"10",5,2,1241.11111111111,"Female"
"11",6,1,4624.30444444444,"Male"
"12",6,2,1862.30388888889,"Female"
"13",7,1,4643.87222222222,"Male"
"14",7,2,1702.5025,"Female"
"15",8,1,5238.14638888889,"Male"
"16",8,2,1621.86472222222,"Female"
"17",9,1,4402.55694444444,"Male"
"18",9,2,1797.92861111111,"Female"
"19",10,1,4042.43055555556,"Male"
"20",10,2,1443.68555555556,"Female"
"21",11,1,2300.85638888889,"Male"
"22",11,2,997.193611111111,"Female"
"23",12,1,1911.04166666667,"Male"
"24",12,2,876.776666666667,"Female"
